"ACTUAL,C,1","CHEFLIEU,C,1","CDC,C,1","RANG,C,1","REG,C,2","DEP,C,3","COM,C,3","AR,C,1","CT,C,2","MODIF,C,1","POLE,C,5","TNCC,C,1","ARTMAJ,C,5","NCC,C,70","ARTMIN,C,5","NCCENR,C,70","ARTICLCT,C,5","NCCCT,C,70","MOD,C,3","MANIP,C,1"
6,,,,27,89,356,,,1,89334,0,,SAINT-MARTIN-SUR-OCRE,,Saint-Martin-sur-Ocre,,,331,S
6,,,,27,89,358,,,1,89086,0,,SAINT-MARTIN-SUR-OUANNE,,Saint-Martin-sur-Ouanne,,,331,S
6,,,,27,89,366,,,1,89388,0,,SAINT-ROMAIN-LE-PREUX,,Saint-Romain-le-Preux,,,331,S
1,0,0,,27,89,367,1,21,1,,0,,SAINTS-EN-PUISAYE,,Saints-en-Puisaye,,Vincelles,100,M
1,0,0,,27,89,388,3,08,0,,0,,SEPEAUX-SAINT ROMAIN,,Sépeaux-Saint Romain,,Charny,341,M
1,0,0,,27,89,388,3,08,0,,0,,SEPEAUX-SAINT ROMAIN,,Sépeaux-Saint Romain,,Charny,341,M
1,0,0,,27,89,388,3,08,0,,0,,SEPEAUX-SAINT ROMAIN,,Sépeaux-Saint Romain,,Charny,331,S
1,0,0,,27,89,411,3,06,0,,4,(LES),VALLEES DE LA VANNE,(Les),Vallées de la Vanne,,Brienon-sur-Armançon,341,M
1,0,0,,27,89,411,3,06,0,,4,(LES),VALLEES DE LA VANNE,(Les),Vallées de la Vanne,,Brienon-sur-Armançon,341,M
1,0,0,,27,89,411,3,06,0,,4,(LES),VALLEES DE LA VANNE,(Les),Vallées de la Vanne,,Brienon-sur-Armançon,341,M
1,0,0,,27,89,411,3,06,0,,4,(LES),VALLEES DE LA VANNE,(Les),Vallées de la Vanne,,Brienon-sur-Armançon,331,S
6,,,,27,89,429,,,1,89411,0,,VAREILLES,,Vareilles,,,331,S
1,0,0,,27,89,431,2,07,1,,0,,VASSY-SOUS-PISY,,Vassy-sous-Pisy,,Chablis,100,M
1,0,0,,27,89,441,1,12,0,,0,,VERMENTON,,Vermenton,,Joux-la-Ville,341,M
1,0,0,,27,89,441,1,12,0,,0,,VERMENTON,,Vermenton,,Joux-la-Ville,341,M
1,0,0,,27,89,441,1,12,0,,0,,VERMENTON,,Vermenton,,Joux-la-Ville,311,S
6,,,,27,89,454,,,1,89086,0,,VILLEFRANCHE,,Villefranche,,,331,S
6,,,,27,89,457,,,1,89196,0,,VILLEMER,,Villemer,,,331,S
6,,,,52,85,212,,,1,85084,0,,SAINTE-FLORENCE,,Sainte-Florence,,,331,S
1,0,0,,52,85,213,2,09,0,,0,,RIVES DE L'YON,,Rives de l'Yon,,Mareuil-sur-Lay-Dissais,341,M
1,0,0,,52,85,213,2,09,0,,0,,RIVES DE L'YON,,Rives de l'Yon,,Mareuil-sur-Lay-Dissais,341,M
1,0,0,,52,85,213,2,09,0,,0,,RIVES DE L'YON,,Rives de l'Yon,,Mareuil-sur-Lay-Dissais,331,S
6,,,,52,85,219,,,1,85154,0,,SAINT-GERMAIN-L'AIGUILLER,,Saint-Germain-l'Aiguiller,,,331,S
1,0,0,,52,85,243,3,15,1,,0,,BREM-SUR-MER,,Brem-sur-Mer,,Saint-Hilaire-de-Riez,360,M
6,,,,52,85,257,,,1,85090,0,,SAINT-MICHEL-MONT-MERCURE,,Saint-Michel-Mont-Mercure,,,331,S
3,,,,52,85,258,,,1,85243,0,,SAINT-NICOLAS-DE-BREM,,Saint-Nicolas-de-Brem,,,350,M
6,,,,52,85,272,,,1,85197,0,,SAINT-SULPICE-LE-VERDON,,Saint-Sulpice-le-Verdon,,,331,S
6,,,,52,85,279,,,1,85019,0,,SALIGNY,,Saligny,,,331,S
3,,,,75,86,057,,,1,86233,0,,CHAPELLE-MORTHEMER,,Chapelle-Morthemer,,,350,M
1,0,0,,75,86,233,2,05,1,,0,,VALDIVIENNE,,Valdivienne,,Chauvigny,360,M
1,0,0,,75,86,245,1,04,0,,0,,SENILLE-SAINT-SAUVEUR,,Senillé-Saint-Sauveur,,Châtellerault-3,341,M
1,0,0,,75,86,245,1,04,0,,0,,SENILLE-SAINT-SAUVEUR,,Senillé-Saint-Sauveur,,Châtellerault-3,341,M
1,0,0,,75,86,245,1,04,0,,0,,SENILLE-SAINT-SAUVEUR,,Senillé-Saint-Sauveur,,Châtellerault-3,331,S
6,,,,75,86,259,,,1,86245,0,,SENILLE,,Senillé,,,331,S
1,0,0,,75,87,097,1,03,0,,0,,VAL D'ISSOIRE,,Val d'Issoire,,Bellac,341,M
1,0,0,,75,87,097,1,03,0,,0,,VAL D'ISSOIRE,,Val d'Issoire,,Bellac,341,M
1,0,0,,75,87,097,1,03,0,,0,,VAL D'ISSOIRE,,Val d'Issoire,,Bellac,331,S
1,0,0,,11,95,019,2,11,1,,1,,ARNOUVILLE,,Arnouville,,Garges-lès-Gonesse,100,M
6,,,,75,87,026,,,1,87097,0,,BUSSIERE-BOFFY,,Bussière-Boffy,,,331,S
1,1,0,,11,95,428,2,15,1,,0,,MONTMORENCY,,Montmorency,,Montmorency,520,M
1,0,0,,44,88,007,2,04,1,,1,,AMEUVELLE,,Ameuvelle,,Darney,420,M
1,0,0,,44,88,016,2,04,1,,1,,ATTIGNY,,Attigny,,Darney,420,M
6,,,,44,88,018,,,1,88218,1,,AUMONTZEY,,Aumontzey,,,331,S
1,0,0,,44,88,049,2,04,1,,0,,BELMONT-LES-DARNEY,,Belmont-lès-Darney,,Darney,420,M
1,0,0,,44,88,052,2,04,1,,0,,BELRUPT,,Belrupt,,Darney,420,M
1,0,0,,44,88,061,2,04,1,,0,,BLEURVILLE,,Bleurville,,Darney,420,M
1,0,0,,44,88,065,2,04,1,,0,,BONVILLET,,Bonvillet,,Darney,420,M
1,2,0,,11,95,585,2,18,1,,0,,SARCELLES,,Sarcelles,,Sarcelles,520,M
1,0,0,,44,88,105,2,04,1,,0,,CLAUDON,,Claudon,,Darney,420,M
6,,,,44,88,112,,,1,88361,0,,COLROY-LA-GRANDE,,Colroy-la-Grande,,,331,S
1,1,0,,44,88,124,2,04,1,,0,,DARNEY,,Darney,,Darney,420,M
1,0,0,,44,88,138,2,04,1,,0,,DOMBASLE-DEVANT-DARNEY,,Dombasle-devant-Darney,,Darney,420,M
1,0,0,,44,88,149,2,04,1,,0,,DOMMARTIN-LES-VALLOIS,,Dommartin-lès-Vallois,,Darney,420,M
1,0,0,,44,88,161,2,04,1,,1,,ESCLES,,Escles,,Darney,420,M
1,0,0,,44,88,162,2,04,1,,1,,ESLEY,,Esley,,Darney,420,M
1,0,0,,04,974,01,2,01,1,,4,(LES),AVIRONS,(Les),Avirons,(L'),Étang-Salé,420,M
1,1,0,,04,974,04,2,01,1,,5,(L'),ETANG-SALE,(L'),Étang-Salé,(L'),Étang-Salé,420,M
1,1,0,,04,974,07,4,02,1,,2,(LE),PORT,(Le),Port,(Le),Port,420,M
1,1,0,,04,974,08,4,03,1,,3,(LA),POSSESSION,(La),Possession,(La),Possession,420,M
3,,,,44,88,282,,,1,88176,2,(LE),MAGNY,(Le),Magny,,,350,M
3,,,,44,88,282,,,1,88176,2,(LE),MAGNY,(Le),Magny,,,331,S
1,0,0,,44,88,291,2,04,1,,0,,MARTINVELLE,,Martinvelle,,Darney,420,M
1,0,0,,44,88,310,2,04,1,,0,,MONTHUREUX-SUR-SAONE,,Monthureux-sur-Saône,,Darney,420,M
1,0,0,,44,88,330,2,04,1,,0,,NONVILLE,,Nonville,,Darney,420,M
6,,,,44,88,337,,,1,88465,1,,ONCOURT,,Oncourt,,,331,S
1,0,0,,44,88,347,2,04,1,,0,,PIERREFITTE,,Pierrefitte,,Darney,420,M
1,0,0,,44,88,353,2,04,1,,0,,PONT-LES-BONFAYS,,Pont-lès-Bonfays,,Darney,420,M
1,0,0,,44,88,360,2,04,1,,0,,PROVENCHERES-LES-DARNEY,,Provenchères-lès-Darney,,Darney,420,M
1,0,0,,44,88,361,3,14,0,,0,,PROVENCHERES-ET-COLROY,,Provenchères-et-Colroy,,Saint-Dié-des-Vosges-2,341,M
1,0,0,,44,88,361,3,14,0,,0,,PROVENCHERES-ET-COLROY,,Provenchères-et-Colroy,,Saint-Dié-des-Vosges-2,341,M
1,0,0,,44,88,361,3,14,0,,0,,PROVENCHERES-ET-COLROY,,Provenchères-et-Colroy,,Saint-Dié-des-Vosges-2,331,S
9,1,1,3,84,07,019,1,03,0,,1,,AUBENAS,,Aubenas,,Aubenas-1,420,M
9,1,1,3,84,07,019,1,04,0,,1,,AUBENAS,,Aubenas,,Aubenas-2,420,M
1,0,0,,44,88,171,2,04,1,,0,,FIGNEVELLE,,Fignévelle,,Darney,420,M
1,0,0,,44,88,176,1,16,1,,0,,FONTENOY-LE-CHATEAU,,Fontenoy-le-Château,(Le),Val-d'Ajol,341,M
1,0,0,,44,88,176,1,16,1,,0,,FONTENOY-LE-CHATEAU,,Fontenoy-le-Château,(Le),Val-d'Ajol,331,S
1,0,0,,44,88,176,1,16,1,,0,,FONTENOY-LE-CHATEAU,,Fontenoy-le-Château,(Le),Val-d'Ajol,360,M
1,0,0,,44,88,176,1,16,1,,0,,FONTENOY-LE-CHATEAU,,Fontenoy-le-Château,(Le),Val-d'Ajol,341,M
1,0,0,,44,88,187,2,04,1,,0,,FRENOIS,,Frénois,,Darney,420,M
1,0,0,,44,88,199,2,04,1,,0,,GIGNEVILLE,,Gignéville,,Darney,420,M
6,,,,44,88,204,,,1,88465,0,,GIRMONT,,Girmont,,,331,S
1,0,0,,44,88,208,2,04,1,,0,,GODONCOURT,,Godoncourt,,Darney,420,M
1,0,0,,44,88,218,3,07,0,,0,,GRANGES-AUMONTZEY,,Granges-Aumontzey,,Gérardmer,341,M
1,0,0,,44,88,218,3,07,0,,0,,GRANGES-AUMONTZEY,,Granges-Aumontzey,,Gérardmer,341,M
